SEM,PYEAR,HTNO,SCODE,SUBNAME,INTM,EXTM,RES,R1,R2,R3
21,2023jan,216Q1A4607,R202101A,COMMUNITY SERVICES PROJECT,A+,2,0,,,
21,2023jan,216Q1A4607,R2021039,ESSENCE OF INDIAN TRADITIONAL KNOWLEDGE,COMPLE,0,0,,,
11,2022APR,216Q1A4607,R201117,APPLIED PHYSICS,D,3,20,,,
11,2022APR,216Q1A4607,R201120,COMPUTER ENGINEERING WORKSHOP,A,3,13,,,
11,2022APR,216Q1A4607,R201119,APPLIED PHYSICS LAB,A,1.5,12,,,
11,2022APR,216Q1A4607,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,D,3,22,,,
11,2022APR,216Q1A4607,R201106,ENGLISH COMMUNICATION SKILLS LABORATORY,A+,1.5,13,,,
11,2022APR,216Q1A4607,R201101,MATHEMATICS - I,E,3,21,,,
11,2022APR,216Q1A4607,R201102,COMMUNICATIVE ENGLISH,D,3,22,,,
11,2022APR,216Q1A4607,R201113,PROGRAMMING FOR PROBLEM SOLVING USING C,A+,1.5,12,,,
11,2023july,216Q1A4608,R201101,MATHEMATICS - I,F,0,20,,,
11,2023july,216Q1A4608,R201117,APPLIED PHYSICS,F,0,20,,,
22,2023JULY,216Q1A4608,R2022055,MANAGERIAL ECONOMICS AND FINANCIAL ACCOU,F,0,18,,,
22,2023JULY,216Q1A4608,R2022464,ANDROID APPLICATION DEVELOPMENT,A+,2,0,,,
22,2023JULY,216Q1A4608,R2022463,DATABASE MANAGEMENT SYSTEMS LAB,A,1.5,11,,,
22,2023JULY,216Q1A4608,R2022462,R PROGRAMMING LAB,B,1.5,11,,,
22,2023JULY,216Q1A4608,R2022061,COMPUTER ORGANIZATION& ARCHITECTURE,F,0,19,,,
22,2023JULY,216Q1A4608,R2022053,FORMAL LANGUAGES AND AUTOMATA THEORY,E,3,18,,,
22,2023JULY,216Q1A4608,R2022052,DATABASE MANAGEMENT SYSTEMS,F,0,19,,,
22,2023JULY,216Q1A4608,R2022051,PROBABILITY AND STATISTICS,F,0,17,,,
22,2023JULY,216Q1A4608,R2022461,COMPUTER ORGANIZATION& ARCHITECTURE LAB,B,1.5,10,,,
12,2023aug,216Q1A4608,R201215,APPLIED CHEMISTRY,F,0,22,,,
21,2023JULY,216Q1A4608,R2021062,JAVA PROGRAMMING,F,0,18,,,
21,2023JULY,216Q1A4608,R2021011,MATHEMATICS-III,C,3,23,,,
12,2022aug,216Q1A4608,R201229,CONSTITUTION OF INDIA,COMPLE,0,0,,,
11,2022sep,216Q1A4608,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,E,3,21,,,
11,2022sep,216Q1A4608,R201101,MATHEMATICS - I,F,0,20,,,
12,2022aug,216Q1A4608,R201243,DIGITAL LOGIC DESIGN LABORATORY,A+,1.5,15,,,
12,2022aug,216Q1A4608,R201242,PROBLEM SOLVING USING PYTHON LABORATORY,A,1.5,13,,,
11,2022sep,216Q1A4608,R201117,APPLIED PHYSICS,F,0,20,,,
12,2022aug,216Q1A4608,R201239,APPLIED CHEMISTRY LABORATORY,A+,1.5,13,,,
12,2022aug,216Q1A4608,R201221,DIGITAL LOGIC DESIGN,D,3,20,,,
12,2022aug,216Q1A4608,R201220,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,D,3,19,,,
12,2022aug,216Q1A4608,R201219,PROBLEM SOLVING USING PYTHON,D,3,21,,,
12,2022aug,216Q1A4608,R201215,APPLIED CHEMISTRY,F,0,22,,,
12,2022aug,216Q1A4608,R201201,MATHEMATICS-II,D,3,21,,,
21,2023jan,216Q1A4608,R2021011,MATHEMATICS-III,F,0,23,,,
